trading_day,trade_time,instrument_id,last_price,open_price,highest_price,lowest_price,close_price,settlement_price,upper_limit_price,lower_limit_price,pre_settlement_price,pre_close_price,pre_open_interest,cum_volume,cum_turnover,open_interest,bid_price1,bid_price2,bid_price3,bid_price4,bid_price5,bid_volume1,bid_volume2,bid_volume3,bid_volume4,bid_volume5,ask_price1,ask_price2,ask_price3,ask_price4,ask_price5,ask_volume1,ask_volume2,ask_volume3,ask_volume4,ask_volume5
2024-07-02,2024-07-02 09:00:02.000,RB2408,3382.0,3399.0,3399.0,3382.0,0.0,0.0,3555.0,3216.0,3386.0,3383.0,0.0,259.0,8791840.0,6359.0,3382.0,3380.0,3376.0,3374.0,3373.0,5.0,6.0,1.0,1.0,1.0,3388.0,3392.0,3395.0,3397.0,3398.0,9.0,1.0,10.0,32.0,49.0
2024-07-02,2024-07-02 09:00:02.500,RB2408,3382.0,3399.0,3399.0,3382.0,0.0,0.0,3555.0,3216.0,3386.0,3383.0,0.0,259.0,8791840.0,6359.0,3385.0,3382.0,3380.0,3376.0,3374.0,1.0,5.0,6.0,1.0,1.0,3388.0,3392.0,3395.0,3397.0,3398.0,9.0,1.0,10.0,32.0,49.0
2024-07-02,2024-07-02 09:00:05.000,RB2408,3382.0,3399.0,3399.0,3382.0,0.0,0.0,3555.0,3216.0,3386.0,3383.0,0.0,259.0,8791840.0,6359.0,3385.0,3382.0,3380.0,3376.0,3374.0,1.0,5.0,6.0,1.0,1.0,3388.0,3392.0,3395.0,3397.0,3398.0,8.0,1.0,10.0,32.0,49.0
2024-07-02,2024-07-02 09:00:06.500,RB2408,3382.0,3399.0,3399.0,3382.0,0.0,0.0,3555.0,3216.0,3386.0,3383.0,0.0,259.0,8791840.0,6359.0,3385.0,3382.0,3380.0,3376.0,3374.0,1.0,5.0,6.0,1.0,1.0,3388.0,3392.0,3395.0,3397.0,3398.0,9.0,1.0,10.0,32.0,49.0
2024-07-02,2024-07-02 09:00:07.500,RB2408,3382.0,3399.0,3399.0,3382.0,0.0,0.0,3555.0,3216.0,3386.0,3383.0,0.0,259.0,8791840.0,6359.0,3385.0,3383.0,3382.0,3380.0,3376.0,1.0,2.0,5.0,6.0,1.0,3388.0,3392.0,3395.0,3397.0,3398.0,9.0,1.0,10.0,32.0,49.0
2024-07-02,2024-07-02 09:00:08.500,RB2408,3382.0,3399.0,3399.0,3382.0,0.0,0.0,3555.0,3216.0,3386.0,3383.0,0.0,259.0,8791840.0,6359.0,3385.0,3383.0,3382.0,3380.0,3376.0,1.0,4.0,5.0,6.0,1.0,3388.0,3392.0,3395.0,3397.0,3398.0,9.0,1.0,10.0,32.0,49.0
2024-07-02,2024-07-02 09:00:09.000,RB2408,3382.0,3399.0,3399.0,3382.0,0.0,0.0,3555.0,3216.0,3386.0,3383.0,0.0,259.0,8791840.0,6359.0,3385.0,3383.0,3382.0,3380.0,3376.0,1.0,2.0,5.0,6.0,1.0,3388.0,3392.0,3395.0,3397.0,3398.0,9.0,1.0,10.0,32.0,49.0
2024-07-02,2024-07-02 09:00:09.500,RB2408,3382.0,3399.0,3399.0,3382.0,0.0,0.0,3555.0,3216.0,3386.0,3383.0,0.0,259.0,8791840.0,6359.0,3385.0,3382.0,3380.0,3376.0,3374.0,1.0,5.0,6.0,1.0,1.0,3388.0,3392.0,3395.0,3397.0,3398.0,9.0,1.0,10.0,32.0,49.0
2024-07-02,2024-07-02 09:00:18.000,RB2408,3385.0,3399.0,3399.0,3382.0,0.0,0.0,3555.0,3216.0,3386.0,3383.0,0.0,260.0,8825690.0,6359.0,3382.0,3380.0,3376.0,3374.0,3373.0,5.0,6.0,1.0,1.0,1.0,3388.0,3392.0,3395.0,3397.0,3398.0,9.0,1.0,10.0,32.0,49.0
2024-07-02,2024-07-02 09:00:18.500,RB2408,3385.0,3399.0,3399.0,3382.0,0.0,0.0,3555.0,3216.0,3386.0,3383.0,0.0,260.0,8825690.0,6359.0,3382.0,3381.0,3380.0,3376.0,3374.0,5.0,2.0,6.0,1.0,1.0,3387.0,3388.0,3392.0,3395.0,3397.0,1.0,9.0,1.0,10.0,32.0
